date,startup,vertical,subvertical,city,investors,round,amount
22-06-2018,WickedRide,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bengaluru,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,0.91
25-06-2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,20
25-06-2018,HipBar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bengaluru,Diageo India,Private Equity,0.4
25-06-2018,Sqqrl,Finance,App-based investment platform,Gurugram,Equanimity Venture Fund,Angel Round,0.1
26-06-2018,Paytm,Technology,Digital Payment Platform,Noida,One 97 Communications,Private Equity,0.9
26-06-2018,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,1.9
27-06-2018,Wow Express,Technology,E-commerce Logistics Platform,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,0.45
28-06-2018,Front Desk AI,Technology,An AI Platform Offering Automated Customer Service Software,Bengaluru,Speciale Invest & Others,Angel Round,0.11
28-06-2018,Edureka,Ed-Tech,Online Education Platform,Bengaluru,Leo Capital,Angel Round,0.2
05-02-2018,OpenTap,Finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Angel Round,0.05
05-02-2018,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,2.2
05-03-2018,Disprz,IT,SaaS,Chennai,"IL&FS Private Equity, Kae Capital & Others",Angel Round,0.25
05-09-2018,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Angel Round,0.1
05-11-2018,Earth Food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Angel Round,0.09
14-05-2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,2.4
16-05-2018,mfine,Healthcare,Doctor-Consultation App,Bengaluru,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,0.42
21-05-2018,Rocketium,Technology,Online Video Creation Platform,Bengaluru,Blume ventures,Angel Round,0.03
21-05-2018,MilkBasket,Technology,Micro-Delivery Grocery Startup,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,0.7
22-05-2018,Vola,Finance,Micro Lending Platform,Bengaluru,Credika and unnamed angel investors,Angel Round,0.05
22-05-2018,Cashkumar,Consumer Internet,P2P Lending Platform,Bengaluru,LetsVenture,Angel Round,0.07
23-05-2018,Edyoo,E-Commerce,Products For Shoolgoing Children,Bengaluru,RS Shanbag,Angel Round,0.07
23-05-2018,Aashiyaan,Finance,Housing Finance For Low-Income Families,Kolkata,"Insistor, Oikocredit",Angel Round,0.2
24-05-2018,Smartivity,Ed-tech,Designer Of Toys and Learning Projects For Kids,Delhi,"Ashish Kacholi, S Chand Group",Angel Round,0.2
24-05-2018,Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Saurabh Rastogi,Angel Round,0.03
27-05-2018,Acko,Consumer Internet,Online Insurance Platform,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Angel Round,1.2
28-05-2018,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Angel Round,0.02
29-05-2018,Toffee,Consumer Internet,Online Insurance Platform,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Angel Round,0.15
29-05-2018,Tonetag,Technology,Mobile Payments Technology Platform,Bengaluru,Amazon Inc. and Mastercard,Private Equity,0.8
30-05-2018,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,1.4
31-05-2018,Credright,Consumer Internet,Lending Platform For SMEs,Hyderabad,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Angel Round,0.13
04-02-2018,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,0.2
04-02-2018,Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Angel Round,0.03
04-04-2018,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,5.5
04-05-2018,IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Angel Round,0.02
04-05-2018,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,1
04-09-2018,Kaleidofin,Fiinance,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Angel Round,0.28
04-09-2018,Pipabella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Angel Round,0.1
04-10-2018,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,1.2
04-12-2018,Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate",Angel Round,0.1
04-12-2018,AyeFinance,Finance,Online Lending Platform,Gurugram,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt-Funding,0.46
13-04-2018,mintifi,Finance,Online Lending Platform,Mumbai,Lok Capital,Angel Round,0.2
16-04-2018,icanstay,Consumer Internet,Online Platform For Luxury Hotel Stay For Business Travelers,Delhi,Mr. Manoj Prasad,Angel Round,0.05
18-04-2018,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,"International Finance Corporation, Transamerica and others.",Private Equity,2.2
19-04-2018,Fyle Technologies,Technology,AI Based Expense Management Platform,Bengaluru,Pravega Ventures and Beenext,Angel Round,0.11
19-04-2018,True Balance,Technology,Mobile Balance Checking App,Gurugram,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment",Private Equity,2.3
22-04-2018,Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Mumbai,Vidal Healthcare,Angel Round,0.19
22-04-2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,1.1
23-04-2018,Capital Float,Finance,Online Lending Platform,Bengaluru,Amazon,Private Equity,2.2
25-04-2018,Trip shelf,Consumer Internet,Online Travel Marketplace,Delhi,"GEMS Advisory, Alok Mittal and Sachin Bhatia",Angel Round,0.02
26-04-2018,POPxo,Technology,Women Focussed Digital Media Platform,Delhi,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",Private Equity,0.55
27-04-2018,1mg,Consumer Internet,Online Pharmacy Store,Gurugram,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,1
30-04-2018,Samco,Consumer Internet,Online Stock Broker,Mumbai,Bay Capital Investments and Others,Private Equity,0.75
30-04-2018,MyLoanCare,Finance,B2C Online Loans Marketplace,Gurgaon,SAR Group,Angel Round,0.1
03-01-2018,Buddy4studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital and others,Private Equity,0.3
03-01-2018,Urban Ladder,E-Commerce,Online Furniture Store,Bengaluru,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,1.2
03-03-2018,Kuvera,Consumer Internet,Online Financial Planning,Bengaluru,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Angel Round,0.03
03-04-2018,Gramophone,Technology,Agri-tech,Indore,InfoEdge,Angel Round,0.1
03-05-2018,Wellthy,Healthcare,Therapeutics,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,0.21
03-05-2018,MedGenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bengaluru,"HDFC Life, HDFC Asset Management",Private Equity,1
03-05-2018,Finova Capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,0.6
03-05-2018,Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,0.5
03-04-2018,Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Angel Round,0.11
03-06-2018,Ad2pro,Technology,"Creative Design, Brand, Media and Technology Platform Solutions",Chennai,Avendus Finance Pvt. Ltd,Debt-Funding,0.97
03-06-2018,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,0.76
03-08-2018,Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global Advisors,Private Equity,3.84
03-08-2018,Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt-Funding,0.1
03-12-2018,HealthCare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Angel Round,0.1
13-03-2018,PineLabs,Technology,Digital Payment Platform,Mumbai,"Actis, Altimeter Capital",Private Equity,8.2
14-03-2018,AvailFinance,Consumer Internet,Online Lending Platform,Bengaluru,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",Private Equity,1.72
15-03-2018,Grofers,Consumer Internet,Online Grocery Shop,Gurugram,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,6.2
19-03-2018,Fingerlix,Consumer Internet,Ready To cook Food Solution,Mumbai,Alteria Capital,Debt-Funding,0.13
19-03-2018,Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,Udaipur,"1Crowd, Ankur Capital",Angel Round,0.05
19-03-2018,Zappfresh,Food & Beverages,Online Raw Meat E-tailer,Gurugram,"Amit Burman, SIDBI Venture Capital",Angel Round,0.3
19-03-2018,CustomerSucessBox,Technology,Customer Success Software for B2B SaaS,Gurugram,"Pi Ventures, Axilor Ventures",Angel Round,0.1
22-03-2018,Chargebee,Technology,Subscription Billing & Recurring Payments Software,Chennai,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,1.8
22-03-2018,i2i Funding,Consumer Internet,Online loan platform,Noida,SucSEED Venture Partners,Angel Round,0.08
22-03-2018,Slang Labs,Technology,Voice-based assistant platform,Bengaluru,Endiya Partners,Angel Round,0.12
26-03-2018,Cash Suvidha,Consumer Internet,Online loan platform,Delhi,"Initia Holdings,Vipin Agarwal and others.",Angel Round,0.1
28-03-2018,Smartcoin,Finance,Micro lending company,Bengaluru,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Angel Round,0.2
27-03-2018,The Print,Media,News portal,Delhi,Ratan Tata,Angel Round,0.05
27-03-2018,DriveU,Technology,Professional Car Drivers Hiring App,Bengaluru,Amit Singhal and Unitus Seed Fund,Private Equity,0.3
02-01-2018,BigBasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,30
02-01-2018,Zomato,Food and Beverages,Food Ordering and Restaurant Discovery,Gurugram,Ant Financials,Private Equity,20
02-05-2018,Pratilipi,Publishing,E-Publishing,Bengaluru,Omidyar Network,Private Equity,0.43
02-05-2018,Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,2.1
02-05-2018,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,"Man Capital LLP, Girnar Software, Others",Private Equity,0.2
02-06-2018,Healthi,Healthcare,Preventive Health Checkup,Bengaluru,Montane Ventures,Private Equity,0.31
02-07-2018,Swiggy,Food and Beverages,Online Food Delivery,Bengaluru,Naspers,Private Equity,10
02-08-2018,Shape,Healthcare,"Online Portal for Diet,fitness and Beauty",Pune,Sandeep Mathur,Angel Round,10
02-08-2018,Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,5
02-09-2018,healthifyme,Healthcare,Mobile Weight Loss Coach,Bengaluru,Sistema Asia Fund,Private Equity,1.2
02-09-2018,Rupeek,Consumer Internet,Online Gold Loan,Bengaluru,"Accel Partners, Sequoia Capital",Private Equity,0.68
02-12-2018,Lendingkart,Finance,Online Lending Platform,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,8.7
02-12-2018,Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt-Funding,0.09
13-02-2018,holachef,Food and Beverages,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Angel Round,0.03
13-02-2018,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bengaluru,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,1.35
14-02-2018,Littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,0.3
14-02-2018,Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,0.01
14-02-2018,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,0.05
14-02-2018,MoneyOnMobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,0.5
15-02-2018,PetSutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Angel Round,0.01
15-02-2018,Infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,0.62
16-02-2018,happay,Finance,Expense Management,Bengaluru,Sequoia and Jerry Yang,Angel Round,0.03
16-02-2018,Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Angel Round,0.02
19-02-2018,AyeFinance,Finance,Online Lending,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,0.38
20-02-2018,Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Angel Round,0.05
21-02-2018,Udaan,E-Commerce,B2B Marketplace,Bengaluru,Lightspeed & Yuri Milner,Private Equity,5
21-02-2018,Capillary,IT,SaaS,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,2
21-02-2018,The Healthy Billions,Healthcare,Analytics,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,0.21
26-02-2018,Avishkaar Box,Ed-Tech,Education,Delhi,Auxano Deals,Private Equity,0.08
26-02-2018,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,0.1
27-02-2018,Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Angel Round,0.03
28-02-2018,Gaana,Technology,Online Music Streaming,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,11.5
28-02-2018,Credy,IT,SaaS,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Angel Round,0.14
01-04-2018,EarlySalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private Equity,1.57
01-09-2018,Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt-Funding,0.47
01-10-2018,Tapzo,Technology,Personal Assistant,Bengaluru,RuNet & Other,Private Equity,0.19
01-10-2018,Appario Retail Pvt Ltd.,E-commerce,Retail,Delhi,Amazon-Patni JV,Private Equity,1.88
01-10-2018,Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,2.35
01-10-2018,Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,3.62
01-12-2018,Kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel Round,0.01
01-12-2018,Razorpay,Technology,Payment Gateway,Bengaluru,"Tiger Global, Y Combinator",Private Equity,2
15-01-2018,Streak,Technology,Algorithmic Trading,Bengaluru,"Indian fintech fund, Rainmatter",Angel Round,0.04
15-01-2018,pi Ventures,Finance,Venture Capital,Bengaluru,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,2.5
15-01-2018,Newgen Software,Technology,IT,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,2
17-01-2018,Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,0.1
18-01-2018,ShareChat,Technology,Social,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,1.82
22-01-2018,Paperflite,Technology,IT,Chennai,The Chennai Angels,Angel Round,0.04
22-01-2018,HungerBox,Consumer Internet,Food and Beverages,Bangalore,Lionrock Capital,Private Equity,0.25
22-01-2018,OptaCredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,0.4
22-01-2018,AEON Learning,Technology,Education,Bengaluru,Dr. Ranjan Pai,Private Equity,0.32
23-01-2018,Milkbasket,E-commerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,0.3
24-01-2018,NeoGrowth Credit,Finance,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,4.7
24-01-2018,Rao IIT Academy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,0.86
24-01-2018,Aye Finance,Finance,Online Lending,Gurugram,IFMR Capital,Term Loan,0.62
25-01-2018,GreyAtom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,0.1
26-01-2018,Axio,Healthcare,Hemostatic Dressing Solutions,Bengaluru,RNT Capital,Private Equity,0.74
29-01-2018,eKincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,0.15
29-01-2018,The Wedding Brigade,Consumer internet,Online Services,Mumbai,Blume Ventures,Private Equity,0.1
30-01-2018,PeeSafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,0.1
30-01-2018,BrowserStack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,5
30-01-2018,Scapic,Technology,Virtual Reality,Bengaluru,"Axilor Ventures, Newfort Capital",Angel Round,0.05
30-01-2018,MoneyOnMobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,0.76
30-01-2018,CureFit,Healthcare,Fitness,Bengaluru,"HDFC Bank, Axis Bank",Debt-Funding,1
31-01-2018,iNurture,Technology,Education Solutions,Bengaluru,Ventureast,Private Equity,0.44
12-05-2017,Dunzo,Technology,Daily Task Management Mobile App,Bangalore,Google,Private Equity,1.23
12-05-2017,Tata Housing,Real Estate,Residential Project,Mumbai,Hines,Private Equity,2.3
12-05-2017,HandyTrain,Technology,Mobile Learning Management Platform,Goa,NB Ventures,Private Equity,0.1
12-05-2017,Mobycy,Technology,Bicycle sharing Platform,Gurgaon,Undisclosed Investors,Angel Round,0.05
